,Unnamed: 0,Unnamed: 0.2,Company,TypeName,Ram,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
0,0,0,Apple,Ultrabook,8,Mac,1.37,71378.6832,0,1,226.98300468106115,Intel Core i5,0,128,Intel
1,1,1,Apple,Ultrabook,8,Mac,1.34,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0,Intel
2,2,2,HP,Notebook,8,Other,1.86,30636.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel
3,3,3,Apple,Ultrabook,16,Mac,1.83,135195.336,0,1,220.53462386625827,Intel Core i7,0,512,AMD
4,4,4,Apple,Ultrabook,8,Mac,1.37,96095.808,0,1,226.98300468106115,Intel Core i5,0,256,Intel
5,5,5,Acer,Notebook,4,Windows,2.1,21312.0,0,0,100.45466986113652,AMD Processor,500,0,AMD
6,6,6,Apple,Ultrabook,16,Mac,2.04,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0,Intel
7,7,7,Apple,Ultrabook,8,Mac,1.34,61735.536,0,0,127.67794013309688,Intel Core i5,0,0,Intel
8,8,8,Asus,Ultrabook,16,Windows,1.3,79653.6,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia
9,9,9,Acer,Ultrabook,8,Windows,1.6,41025.6,0,1,157.3505121487356,Intel Core i5,0,256,Intel
10,10,10,HP,Notebook,4,Other,1.86,20986.992,0,0,100.45466986113652,Intel Core i5,500,0,Intel
11,11,11,HP,Notebook,4,Other,1.86,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0,Intel
12,12,12,Apple,Ultrabook,16,Mac,1.83,130001.6016,0,1,220.53462386625827,Intel Core i7,0,256,AMD
13,13,13,Dell,Notebook,4,Windows,2.2,26581.392,0,0,141.21199808219862,Intel Core i3,0,256,AMD
14,14,14,Apple,Ultrabook,8,Mac,0.92,67260.672,0,1,226.4155471693585,Intel Processor,0,256,Intel
15,15,15,Apple,Ultrabook,8,Mac,1.37,80908.344,0,1,226.98300468106115,Intel Core i5,0,256,Intel
16,16,16,Dell,Notebook,8,Windows,2.2,39693.6,0,0,141.21199808219862,Intel Core i7,0,256,AMD
17,17,17,Apple,Ultrabook,16,Mac,1.83,152274.24,0,1,220.53462386625827,Intel Core i7,0,512,AMD
18,18,18,Lenovo,Notebook,8,Other,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia
19,19,19,Dell,Ultrabook,8,Windows,1.22,52161.12,1,1,165.6321180513006,Intel Core i5,0,128,Intel
20,20,20,Asus,Netbook,2,Windows,0.98,10224.432,0,0,135.0942111925629,Intel Processor,0,0,Intel
21,21,21,Lenovo,Gaming,8,Windows,2.5,53226.72,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia
22,22,22,HP,Notebook,4,Other,1.86,13746.24,0,0,100.45466986113652,AMD Processor,500,0,AMD
23,23,23,Dell,2 in 1 Convertible,8,Windows,1.62,43636.32,1,0,165.6321180513006,Intel Core i5,0,256,Intel
24,24,24,HP,Ultrabook,8,Windows,1.91,35111.52,0,0,141.21199808219862,Intel Core i7,0,256,Intel
25,25,25,Dell,Notebook,4,Windows,2.3,22305.1392,0,0,100.45466986113652,Intel Core i3,1000,0,Intel
26,26,26,Apple,Ultrabook,8,Mac,1.35,58554.72,0,0,127.67794013309688,Intel Core i5,0,0,Intel
27,27,27,Dell,Notebook,8,Windows,2.2,42624.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD
28,28,28,Dell,Ultrabook,8,Windows,1.88,69157.44,0,0,141.21199808219862,Intel Core i7,0,512,Intel
29,29,29,HP,Notebook,8,Windows,2.5,47738.88,0,0,127.33567457123112,Intel Core i5,1000,0,Nvidia
30,30,30,Chuwi,Notebook,4,Windows,1.89,13053.0672,0,0,141.21199808219862,Intel Processor,0,0,Intel
31,31,31,Asus,Notebook,2,Windows,1.65,10602.72,0,0,111.93520355955212,AMD Processor,0,0,AMD
32,32,32,HP,Notebook,4,Windows,2.71,23389.92,0,0,127.33567457123112,AMD Processor,500,0,AMD
